codigo,tipo,cuenta,tipo_catalogo
1148070201,,Refinanciados - ML,4
1148070202,,Refinanciados - ME,4
1148070301,,Reestructurados - ML,4
1148070302,,Reestructurados - ME,4
114808,,PRÉSTAMOS A EMPRESAS NO DOMICILIADAS,4
1148080101,,Otorgamientos originales - ML,4
1148080102,,Otorgamientos originales - ME,4
1148080201,,Refinanciados - ML,4
1148080202,,Refinanciados - ME,4
1148080301,,Reestructurados - ML,4
1148080302,,Reestructurados - ME,4
114899,,RECUPERACIONES DE PRÉSTAMOS EN COBRO JUDICIAL,4
1148990101,,Otorgamientos originales - ML,4
1148990102,,Otorgamientos originales - ME,4
1148990201,,Refinanciados - ML,4
1148990202,,Refinanciados - ME,4
1148990301,,Reestructurados - ML,4
1148990302,,Reestructurados - ME,4
1148999901,,Intereses y otros por cobrar - ML,4
1148999902,,Intereses y otros por cobrar - ME,4
1149,,PROVISIÓN PARA INCOBRABILIDAD DE PRÉSTAMOS,4
114901,,PROVISIÓN PARA INCOBRABILIDAD DE PRÉSTAMOS,4
1149010101,,Provisiones por categoría de riesgo - ML,4
1149010102,,Provisiones por categoría de riesgo - ME,4
1149010201,,Provisiones por exceso de créditos relacionados - ML,4
1149010202,,Provisiones por exceso de créditos relacionados - ME,4
